latitude,longitude,label,timestamp,fix_quality,h_accuracy
17.3972163,78.4898657,P1,2026-04-22T12:19:04Z,3D Fix,
17.3972151,78.4898759,P2,2026-04-22T12:20:16Z,3D Fix,
17.3972145,78.4898861,P3,2026-04-22T12:20:20Z,3D Fix,
17.3972133,78.4898964,P4,2026-04-22T12:20:25Z,3D Fix,
17.3972126,78.4899067,P5,2026-04-22T12:20:35Z,3D Fix,
17.3972093,78.4899166,P6,2026-04-22T12:20:39Z,3D Fix,
17.3972065,78.4899269,P7,2026-04-22T12:20:42Z,3D Fix,
17.3972045,78.4899367,P8,2026-04-22T12:20:46Z,3D Fix,
17.3972028,78.489947,P9,2026-04-22T12:20:50Z,3D Fix,
17.3972014,78.4899573,P10,2026-04-22T12:20:54Z,3D Fix,
17.3972001,78.4899679,P11,2026-04-22T12:20:58Z,3D Fix,
17.3971992,78.4899775,P12,2026-04-22T12:21:02Z,3D Fix,
17.3971987,78.4899879,P13,2026-04-22T12:21:05Z,3D Fix,
17.3971979,78.4899983,P14,2026-04-22T12:21:09Z,3D Fix,
17.3971962,78.490009,P15,2026-04-22T12:21:12Z,3D Fix,
17.3971874,78.4900117,P16,2026-04-22T12:21:35Z,3D Fix,
17.3971777,78.4900082,P17,2026-04-22T12:21:48Z,3D Fix,
17.3971685,78.4900046,P18,2026-04-22T12:21:52Z,3D Fix,
17.3971597,78.4900016,P19,2026-04-22T12:21:55Z,3D Fix,
17.3971504,78.4899995,P20,2026-04-22T12:21:59Z,3D Fix,
17.3971409,78.4899975,P21,2026-04-22T12:22:02Z,3D Fix,
17.3971313,78.4899951,P22,2026-04-22T12:22:06Z,3D Fix,
17.3971218,78.4899941,P23,2026-04-22T12:22:10Z,3D Fix,
17.3971127,78.4899935,P24,2026-04-22T12:22:13Z,3D Fix,
17.3971029,78.4899928,P25,2026-04-22T12:22:17Z,3D Fix,
17.397094,78.4899912,P26,2026-04-22T12:22:20Z,3D Fix,
17.3970854,78.4899868,P27,2026-04-22T12:22:24Z,3D Fix,
17.3970752,78.4899857,P28,2026-04-22T12:22:28Z,3D Fix,
17.397078,78.4899761,P29,2026-04-22T12:22:44Z,3D Fix,
17.3970784,78.4899663,P30,2026-04-22T12:22:49Z,3D Fix,
17.3970804,78.4899571,P31,2026-04-22T12:22:52Z,3D Fix,
17.3970821,78.4899475,P32,2026-04-22T12:22:56Z,3D Fix,
17.3970839,78.4899378,P33,2026-04-22T12:22:59Z,3D Fix,
17.3970864,78.4899284,P34,2026-04-22T12:23:03Z,3D Fix,
17.3970903,78.4899188,P35,2026-04-22T12:23:06Z,3D Fix,
17.3970934,78.4899097,P36,2026-04-22T12:23:10Z,3D Fix,
17.3970964,78.4899008,P37,2026-04-22T12:23:14Z,3D Fix,
17.397095,78.4898913,P38,2026-04-22T12:23:29Z,3D Fix,
17.3970969,78.4898818,P39,2026-04-22T12:23:32Z,3D Fix,
17.3970989,78.4898711,P40,2026-04-22T12:23:36Z,3D Fix,
17.3971014,78.489861,P41,2026-04-22T12:23:39Z,3D Fix,
17.3971035,78.4898515,P42,2026-04-22T12:23:42Z,3D Fix,
17.3971131,78.4898511,P43,2026-04-22T12:23:51Z,3D Fix,
17.3971228,78.4898506,P44,2026-04-22T12:24:07Z,3D Fix,
17.3971325,78.4898469,P45,2026-04-22T12:24:11Z,3D Fix,
17.3971419,78.4898492,P46,2026-04-22T12:24:16Z,3D Fix,
17.3971512,78.4898491,P47,2026-04-22T12:24:20Z,3D Fix,
17.3971607,78.4898496,P48,2026-04-22T12:24:24Z,3D Fix,
17.397171,78.489852,P49,2026-04-22T12:24:28Z,3D Fix,
